danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.825,0.285,-17.491,0.0326,0.188,0.00131,0.0539,0.86,126.946,225627.0,4.0
0.733,0.795,-6.748,0.0609,0.213,0.0001,0.0989,0.299,136.977,319347.0,4.0
0.621,0.403,-8.211,0.0359,0.581,0.0,0.114,0.634,145.523,232133.0,4.0
0.771,0.68,-5.881,0.224,0.277,1.18e-05,0.682,0.808,119.952,276160.0,4.0
0.808,0.581,-5.43,0.07,0.0053,1.19e-05,0.0828,0.758,130.012,172427.0,4.0
0.492,0.823,-8.526,0.0297,0.127,0.0,0.0523,0.702,94.342,215173.0,4.0
0.839,0.804,-2.513,0.0329,0.0192,0.0,0.331,0.888,122.973,239987.0,4.0
0.825,0.449,-9.859,0.0348,0.574,0.0034,0.0726,0.738,117.399,251347.0,4.0
0.448,0.825,-6.881,0.068,0.55,0.0,0.933,0.612,137.297,270133.0,4.0
0.606,0.497,-6.611,0.0277,0.348,0.0,0.275,0.362,130.739,222773.0,4.0
0.72,0.607,-4.168,0.0322,0.0543,0.0,0.113,0.828,121.223,201947.0,4.0
0.867,0.857,-5.892,0.0663,0.13,0.00171,0.13,0.402,130.048,251440.0,4.0
0.577,0.756,-5.82,0.115,0.159,0.000232,0.249,0.663,176.75,201173.0,4.0
0.5,0.681,-9.556,0.0672,0.114,4.01e-05,0.139,0.745,119.46,263333.0,4.0
0.508,0.72,-5.908,0.0628,0.272,0.0,0.0563,0.472,79.983,261640.0,4.0
0.734,0.442,-8.432,0.0557,0.0594,1.63e-05,0.213,0.0973,117.967,245653.0,4.0
0.642,0.289,-9.918,0.0367,0.669,0.0,0.18,0.407,84.996,258373.0,4.0
0.72,0.791,-4.689,0.124,0.0384,0.0,0.157,0.756,102.071,175427.0,4.0
0.378,0.638,-5.576,0.075,0.02,7.66e-05,0.0849,0.735,184.086,250627.0,4.0
0.61,0.841,-4.579,0.0692,0.056,9.85e-06,0.118,0.431,126.889,198187.0,4.0
0.604,0.788,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,245040.0,4.0
0.485,0.853,-3.192,0.0423,0.0057,0.00155,0.0842,0.304,130.054,180923.0,4.0
0.552,0.503,-6.759,0.145,0.138,0.000555,0.143,0.141,159.706,218480.0,4.0
0.688,0.853,-5.814,0.0493,0.386,0.0,0.0862,0.743,103.993,268320.0,4.0
0.5,0.418,-6.535,0.0377,0.566,0.000193,0.11,0.176,84.899,172724.0,4.0
0.602,0.843,-4.831,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,227987.0,4.0
0.673,0.758,-3.632,0.158,0.039,0.0,0.341,0.542,135.956,229507.0,4.0
0.778,0.547,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002,242733.0,4.0
0.484,0.368,-7.784,0.0341,0.74,3.82e-05,0.118,0.142,92.923,216480.0,4.0
0.56,0.825,-3.862,0.0379,0.323,0.0,0.161,0.268,94.931,237493.0,4.0
0.516,0.318,-14.061,0.0514,0.51,0.0,0.125,0.525,76.199,233707.0,4.0
0.508,0.834,-6.205,0.0386,0.0183,0.0,0.0732,0.774,139.131,216053.0,4.0
0.687,0.704,-7.923,0.0423,0.0745,0.0,0.0924,0.843,131.704,192867.0,4.0
0.441,0.802,-6.411,0.0305,0.0104,6.25e-05,0.123,0.783,148.023,218356.0,4.0
0.563,0.592,-4.571,0.0276,0.209,5.08e-05,0.132,0.136,104.016,267933.0,4.0
0.63,0.894,-4.592,0.0544,0.255,0.0,0.181,0.364,142.051,218520.0,4.0
0.64,0.743,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035,262533.0,4.0
0.656,0.291,-10.572,0.0293,0.872,0.0,0.114,0.298,103.971,232533.0,4.0
0.524,0.711,-5.494,0.0405,0.0567,0.0,0.134,0.539,203.867,257133.0,4.0
0.666,0.78,-5.177,0.0404,0.044,0.0,0.128,0.795,90.004,190480.0,4.0
0.652,0.783,-4.829,0.0309,0.000189,0.0173,0.0889,0.836,117.952,192693.0,5.0
0.685,0.571,-11.623,0.0299,0.335,2.38e-06,0.214,0.869,121.737,184173.0,4.0
0.593,0.74,-6.12,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107.0,4.0
0.671,0.373,-18.064,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893.0,4.0
0.738,0.983,-4.374,0.0855,0.038,5.93e-06,0.183,0.957,92.998,235760.0,4.0
0.792,0.612,-5.212,0.0693,0.0805,3.83e-06,0.0852,0.42,109.959,199849.0,4.0
0.646,0.644,-6.763,0.031,0.0243,0.0,0.0888,0.251,99.999,221520.0,4.0
0.416,0.773,-3.784,0.0949,0.572,0.0,0.105,0.716,122.65,210307.0,4.0
0.472,0.714,-4.389,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133.0,4.0
0.475,0.606,-6.646,0.0346,0.247,0.0,0.125,0.282,94.994,252534.0,4.0
0.571,0.873,-3.382,0.1,0.0811,0.0,0.361,0.613,139.691,229467.0,4.0
0.73,0.703,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,192120.0,4.0
0.743,0.735,-5.337,0.0382,0.00389,0.0,0.304,0.631,104.979,189467.0,4.0
0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,233720.0,4.0
0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,200787.0,4.0
0.481,0.285,-10.848,0.0424,0.9,0.0,0.123,0.316,130.029,210160.0,4.0
0.687,0.705,-8.453,0.0522,0.0339,0.0,0.164,0.449,110.048,238133.0,4.0
0.568,0.517,-7.316,0.0894,0.146,0.0,0.343,0.578,104.443,262840.0,4.0
0.714,0.833,-5.239,0.0259,0.00249,0.0,0.298,0.663,129.964,220920.0,4.0
0.688,0.296,-11.064,0.0872,0.95,0.000166,0.115,0.478,89.091,203267.0,4.0
0.551,0.651,-5.828,0.0594,0.225,0.0,0.224,0.562,144.875,194907.0,4.0
0.659,0.802,-4.79,0.148,0.208,0.0,0.123,0.863,177.936,228200.0,4.0
0.717,0.55,-6.019,0.0521,0.0358,0.00196,0.126,0.332,96.976,171333.0,4.0
0.59,0.797,-4.901,0.0614,0.132,0.0,0.0846,0.425,94.948,208120.0,4.0
0.432,0.74,-5.053,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520.0,4.0
0.481,0.285,-10.848,0.0424,0.9,0.0,0.123,0.316,130.029,210160.0,4.0
0.525,0.809,-6.185,0.0619,0.0819,1.22e-06,0.0971,0.21,127.073,244907.0,4.0
0.608,0.798,-5.092,0.0432,0.0736,0.0,0.156,0.501,92.943,185352.0,4.0
0.644,0.595,-6.877,0.215,0.121,0.0,0.279,0.554,148.889,286853.0,3.0
0.739,0.807,-5.063,0.0652,0.0181,0.0,0.295,0.632,97.048,227853.0,4.0
0.558,0.296,-9.18,0.0427,0.907,0.0,0.108,0.463,76.04,234787.0,4.0
0.615,0.711,-5.507,0.0779,0.0444,0.0,0.145,0.711,144.036,221253.0,4.0
0.706,0.841,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032,220227.0,4.0
0.512,0.662,-6.797,0.0439,0.0275,0.0,0.118,0.472,180.114,228347.0,4.0
0.666,0.899,-4.676,0.028,0.00155,0.0,0.0677,0.629,122.05,186267.0,4.0
0.762,0.661,-6.075,0.0687,0.15,0.0,0.256,0.769,130.009,225373.0,4.0
0.646,0.795,-3.293,0.0976,0.0319,0.0,0.267,0.796,89.99,210960.0,4.0
0.383,0.256,-8.572,0.0332,0.88,2.69e-06,0.169,0.519,114.188,134347.0,4.0
0.741,0.783,-4.791,0.0415,0.015,0.0,0.302,0.534,110.002,231373.0,4.0
0.719,0.798,-4.582,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,227741.0,4.0
0.327,0.588,-6.611,0.0336,0.0834,0.0,0.104,0.329,161.074,236067.0,4.0
0.435,0.837,-8.126,0.449,0.00676,0.0,0.117,0.778,124.913,216893.0,4.0
0.762,0.748,-4.15,0.033,0.0266,0.0,0.348,0.851,110.009,199027.0,4.0
0.569,0.402,-10.151,0.0433,0.438,0.0,0.134,0.696,144.635,162507.0,4.0
0.66,0.798,-5.326,0.162,0.0226,2.2e-05,0.103,0.627,103.022,193987.0,4.0
0.662,0.618,-5.26,0.0455,0.0537,0.0,0.355,0.261,134.022,235947.0,3.0
0.665,0.762,-6.371,0.0306,0.301,0.0,0.0891,0.229,103.974,199093.0,4.0
0.758,0.941,-6.356,0.0677,0.0482,0.0,0.605,0.824,116.005,231427.0,4.0
0.432,0.69,-4.772,0.0292,0.0927,4.31e-05,0.184,0.264,88.797,222493.0,4.0
0.645,0.585,-6.122,0.0513,0.00314,0.0,0.165,0.353,131.931,215672.0,4.0
0.709,0.824,-8.824,0.0453,0.207,0.000307,0.0888,0.867,118.818,291293.0,4.0
0.6,0.663,-5.802,0.0477,0.225,0.0,0.119,0.286,121.07,245493.0,4.0
0.711,0.807,-8.817,0.0456,0.206,0.000387,0.0854,0.861,118.819,290427.0,4.0
0.676,0.861,-3.645,0.0501,0.0512,0.0,0.0613,0.681,124.031,174120.0,3.0
0.633,0.976,-5.362,0.0519,0.00281,1.29e-05,0.382,0.493,142.027,197124.0,4.0
0.701,0.944,-2.986,0.0455,0.0755,0.0,0.601,0.792,128.993,197707.0,4.0
0.61,0.926,-4.843,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400.0,4.0
0.707,0.788,-5.269,0.0333,0.214,0.000571,0.308,0.746,120.465,238120.0,4.0
0.639,0.548,-13.534,0.0394,0.29,9.68e-05,0.366,0.887,98.359,176333.0,4.0
0.529,0.127,-16.066,0.0274,0.611,0.000109,0.237,0.578,63.05,203573.0,4.0
0.478,0.678,-7.032,0.0364,0.29,0.0,0.577,0.892,151.466,182960.0,4.0
0.497,0.852,-5.517,0.0405,0.0155,0.0,0.0793,0.713,138.8,212933.0,4.0
0.662,0.741,-5.406,0.0334,0.00165,0.0303,0.114,0.404,131.0,188960.0,4.0
