artist,song,popularity,uri,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,0,clusters
Isbells,Reunite,0,spotify:track:3FZp9Dzst1a9cnVJuxxtvH,https://open.spotify.com/track/3FZp9Dzst1a9cnVJuxxtvH,0.59,0.476,1.0,-12.784,0.0,0.0294,0.756,0.208,0.106,0.6,68.161,audio_features,3FZp9Dzst1a9cnVJuxxtvH,https://api.spotify.com/v1/tracks/3FZp9Dzst1a9cnVJuxxtvH,https://api.spotify.com/v1/audio-analysis/3FZp9Dzst1a9cnVJuxxtvH,235720.0,4.0,,0
Nina Simone,Black Is The Color Of My True Love's Hair - Jaffa Remix,0,spotify:track:7aXIEpFnkQKVloLPx6nalb,https://open.spotify.com/track/7aXIEpFnkQKVloLPx6nalb,0.635,0.722,7.0,-5.744,1.0,0.0561,0.576,0.627,0.169,0.417,172.029,audio_features,7aXIEpFnkQKVloLPx6nalb,https://api.spotify.com/v1/tracks/7aXIEpFnkQKVloLPx6nalb,https://api.spotify.com/v1/audio-analysis/7aXIEpFnkQKVloLPx6nalb,297920.0,4.0,,2
Jazzy Lee,I'm Easy - Quiet Storm Mix,0,spotify:track:4cT55KgES6go3vnOnxqA43,https://open.spotify.com/track/4cT55KgES6go3vnOnxqA43,0.594,0.356,10.0,-10.784,0.0,0.0339,0.413,0.00378,0.197,0.325,132.182,audio_features,4cT55KgES6go3vnOnxqA43,https://api.spotify.com/v1/tracks/4cT55KgES6go3vnOnxqA43,https://api.spotify.com/v1/audio-analysis/4cT55KgES6go3vnOnxqA43,276863.0,4.0,,0
John Grant,Marz,0,spotify:track:4uzRSdolj6QKoor94A05eu,https://open.spotify.com/track/4uzRSdolj6QKoor94A05eu,0.527,0.38,10.0,-10.864,1.0,0.029,0.358,4.76e-05,0.094,0.406,119.952,audio_features,4uzRSdolj6QKoor94A05eu,https://api.spotify.com/v1/tracks/4uzRSdolj6QKoor94A05eu,https://api.spotify.com/v1/audio-analysis/4uzRSdolj6QKoor94A05eu,238000.0,4.0,,0
José González,Heartbeats,68,spotify:track:11X4Gw3T4hoktVruLgTnm1,https://open.spotify.com/track/11X4Gw3T4hoktVruLgTnm1,0.554,0.15,3.0,-16.746,1.0,0.0338,0.974,0.735,0.0698,0.314,87.956,audio_features,11X4Gw3T4hoktVruLgTnm1,https://api.spotify.com/v1/tracks/11X4Gw3T4hoktVruLgTnm1,https://api.spotify.com/v1/audio-analysis/11X4Gw3T4hoktVruLgTnm1,160240.0,4.0,,4
Junip,The Ghost Of Tom Joad,0,spotify:track:2B3EoDxoh3kLuhehekwAaj,https://open.spotify.com/track/2B3EoDxoh3kLuhehekwAaj,0.539,0.636,3.0,-7.624,0.0,0.0333,0.704,0.0869,0.129,0.537,88.448,audio_features,2B3EoDxoh3kLuhehekwAaj,https://api.spotify.com/v1/tracks/2B3EoDxoh3kLuhehekwAaj,https://api.spotify.com/v1/audio-analysis/2B3EoDxoh3kLuhehekwAaj,251267.0,4.0,,0
Kid Loco,Pretty Boy Floyd,0,spotify:track:46phwmvtDdvWujnOoK8rTk,https://open.spotify.com/track/46phwmvtDdvWujnOoK8rTk,0.478,0.73,1.0,-5.786,1.0,0.0293,0.0115,0.708,0.669,0.249,82.008,audio_features,46phwmvtDdvWujnOoK8rTk,https://api.spotify.com/v1/tracks/46phwmvtDdvWujnOoK8rTk,https://api.spotify.com/v1/audio-analysis/46phwmvtDdvWujnOoK8rTk,311760.0,4.0,,3
Kinobe,Slip Into Something (feat. Ben & Jason),41,spotify:track:3d9Otxxjac9PcvMXsO63bY,https://open.spotify.com/track/3d9Otxxjac9PcvMXsO63bY,0.368,0.546,7.0,-10.408,1.0,0.0319,0.0549,0.321,0.0811,0.329,86.979,audio_features,3d9Otxxjac9PcvMXsO63bY,https://api.spotify.com/v1/tracks/3d9Otxxjac9PcvMXsO63bY,https://api.spotify.com/v1/audio-analysis/3d9Otxxjac9PcvMXsO63bY,222973.0,4.0,,1
Koop,Koop Island Blues,0,spotify:track:4K375NCv5eSw7aOM1hgJZn,https://open.spotify.com/track/4K375NCv5eSw7aOM1hgJZn,0.555,0.537,10.0,-9.041,0.0,0.0314,0.731,0.0524,0.287,0.521,79.239,audio_features,4K375NCv5eSw7aOM1hgJZn,https://api.spotify.com/v1/tracks/4K375NCv5eSw7aOM1hgJZn,https://api.spotify.com/v1/audio-analysis/4K375NCv5eSw7aOM1hgJZn,276360.0,4.0,,0
Peter Kruder,Black Baby (DJ-Kicks),0,spotify:track:18T8qI2S6VA8c4QXPAVr6V,https://open.spotify.com/track/18T8qI2S6VA8c4QXPAVr6V,0.586,0.544,6.0,-14.794,0.0,0.08,0.114,0.861,0.325,0.681,167.853,audio_features,18T8qI2S6VA8c4QXPAVr6V,https://api.spotify.com/v1/tracks/18T8qI2S6VA8c4QXPAVr6V,https://api.spotify.com/v1/audio-analysis/18T8qI2S6VA8c4QXPAVr6V,380787.0,4.0,,2
